ITEMNMBR,warehouse location,predicted_demand for location (item count),Current inventory for location (item count),Current gap (item count),Item value,Aggregate metric
D-15100N,L,0.0,0.0,0.0,0.7268322282703283,-0.2207057086550145
D-15100N,U,0.0,0.0,0.0,0.7268322282703283,-0.2207057086550145
D-15100N,W,0.0,0.0,0.0,0.7268322282703283,-0.2207057086550145
AC-B3SLJ,W,7724.8944444444405,614.25,7110.6444444444405,0.7227150857140725,-0.22176826511570535
F-04111,U,0.0,7665.08,-7665.08,0.7298676208186885,-0.22280154810413444
F-04117,1,27000.090284228256,4641.55,22358.540284228256,0.7138632057615277,-0.224100340668139
D-14220,1,2723.4540459416976,0.0,2723.4540459416976,0.7237949312104252,-0.22448704448021106
D-14220,2,1016.6037536355577,0.0,1016.6037536355577,0.7237949312104252,-0.22651551594556119
D-14220,3,713.3395219848173,0.0,713.3395219848173,0.7237949312104252,-0.22687592414488467
D-13220N,2,2876.7094136309406,0.0,2876.7094136309406,0.7225162956760234,-0.22725932262287918
D-14220,E1,38.24166666666667,0.0,38.24166666666667,0.7237949312104252,-0.22767823044087598
D-14220,L,0.0,0.0,0.0,0.7237949312104252,-0.2277236779707329
D-14220,U,0.0,0.0,0.0,0.7237949312104252,-0.2277236779707329
D-14220,W,0.0,0.0,0.0,0.7237949312104252,-0.2277236779707329
D-13220N,1,2100.4160149397617,0.0,2100.4160149397617,0.7225162956760234,-0.2281818927012761
AC-B3SLJ,3,1759.4337436866533,106.16,1653.2737436866532,0.7227150857140725,-0.2282539661711669
AC-B3SLJ,2,1320.5680738649648,127.86,1192.708073864965,0.7227150857140725,-0.22880131606082288
D-13220N,3,1166.5175554331788,0.0,1166.5175554331788,0.7225162956760234,-0.2292917653041533
AC-B3SLJ,E1,0.0,0.3,-0.3,0.7227150857140725,-0.23021912220742857
AC-B3SLJ,L,0.0,7.53,-7.53,0.7227150857140725,-0.23022771455367042
AC-B3SLJ,U,0.0,82.18,-82.18,0.7227150857140725,-0.23031643082572484
D-13220N,E1,40.416666666666664,0.0,40.416666666666664,0.7225162956760234,-0.23063005696937133
D-13220N,L,0.0,0.0,0.0,0.7225162956760234,-0.2306780893336785
D-13220N,U,0.0,0.0,0.0,0.7225162956760234,-0.2306780893336785
D-13220N,W,0.0,0.0,0.0,0.7225162956760234,-0.2306780893336785
A-61280,U,724.2744623103822,0.0,724.2744623103822,0.7221167177447421,-0.23074060364908644
F-04220,2,19309.260960591128,554.89,18754.370960591128,0.7127659489829479,-0.23091896045570626
F-04117,3,18539.711828992316,1963.24,16576.471828992315,0.7138632057615277,-0.2309719221565777
A-61280,1,498.15946496938136,0.0,498.15946496938136,0.7221167177447421,-0.23100932541224362
A-61280,2,0.0,0.0,0.0,0.7221167177447421,-0.23160135288204542
A-61280,3,0.0,0.0,0.0,0.7221167177447421,-0.23160135288204542
A-61280,E1,0.0,0.0,0.0,0.7221167177447421,-0.23160135288204542
A-61280,L,0.0,0.0,0.0,0.7221167177447421,-0.23160135288204542
A-61280,W,0.0,0.0,0.0,0.7221167177447421,-0.23160135288204542
F-04221,2,19079.506219211828,662.12,18417.38621921183,0.711332907723417,-0.2346306238681376
F-04220,1,13059.103448275857,155.27,12903.833448275856,0.7127659489829479,-0.23787191260047658
F-04221,1,12649.706896551721,186.02,12463.68689655172,0.711332907723417,-0.24170617656524795
D-15220N,2,4355.8222421099745,0.0,4355.8222421099745,0.7150592124024522,-0.24273181495822105
F-04117,E1,5742.435450191571,28.25,5714.185450191571,0.7138632057615277,-0.24388098516414125
D-15212,2,2658.091096586144,0.0,2658.091096586144,0.7153100088239095,-0.24416995951341258
D-15220N,3,2067.070980507871,0.0,2067.070980507871,0.7150592124024522,-0.24545183477857158
D-15220N,1,2060.4414263066915,0.0,2060.4414263066915,0.7150592124024522,-0.2454597135372335
D-15212,3,845.219472205456,0.0,845.219472205456,0.7153100088239095,-0.24632442987146053
