Item Number,Description,Case Pack,unit dimension (L*W*H) (in),inner case dimension (L*W*H) (in),master case dimension (L*W*H) (in),Case/ Pallet,UPC#,Mstr Ctn UPC#,Country of Origin,Shelf Life (Months),Maufactuer/ CoPacker,Lead Time,MOQ,Allergens
F-04001,POP Ginger Chews Original 1 lb Bulk,BAG12,11 x 8 x 1.5,,15.7 x 10.4 x 9.8,70cs,039278040012,10039278040019,Indonesia,24 months,PTA,3 months,40HQ,"Peanuts, Coconut"
F-04070,POP Ginger Chews Original 8 oz,BAG8,9.5 x 7 x 3,,13.5 x 10.5 x10,112cs,039278040708,10039278040705,Indonesia,24 months,PTA,3 months,40HQ,"Peanuts, Coconut"
F-04071,POP Ginger Chews Lemon 8 oz,BAG8,9.5 x 7 x 3,,13.5 x 10.5 x10,112cs,039278040715,10039278040712,Indonesia,24 months,PTA,3 months,40HQ,"Peanuts, Coconut"
F-04073,POP Ginger Chews Mango 8 oz,BAG8,9.5 x 7 x 3,,13.5 x 10.5 x10,112cs,039278040739,10039278040736,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04074,POP Ginger Chews Lychee 8 oz,BAG8,9.5 x 7 x 3,,13.5 x 10.5 x10,112cs,039278040746,10039278040743,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Lychee"
F-04075,POP Ginger Chews Blood Orange 8 oz,BAG8,9.5 x 7 x 3,,13.5 x 10.5 x10,112cs,039278040753,10039278040750,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04076,POP Ginger Chews Assorted 8 oz,BAG8,9.5 x 7 x 3,,13.5 x 10.5 x10,112cs,039278040760,10039278040767,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Lychee"
F-04111,POP Ginger Chews Original 4 oz (12ct/cs),EA12,7.65 x 5.5 x 2.25,,12.4 x 5.6 x 7.1,240cs,039278040135,10039278041115,Indonesia,24 months,PTA,3 months,40HQ,"Peanuts, Coconut"
F-04112,POP Ginger Chews Lemon 4 oz (12ct/cs),EA12,7.65 x 5.5 x 2.25,,12.4 x 5.6 x 7.1,240cs,039278040265,10039278041122,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04114,POP Ginger Chews Mango 4 oz (12ct/cs),EA12,7.65 x 5.5 x 2.25,,12.4 x 5.6 x 7.1,240cs,039278040579,10039278041146,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04117,POP Ginger Chews Blood Orange 4 oz (12ct/cs),EA12,7.65 x 5.5 x 2.25,,12.4 x 5.6 x 7.1,240cs,039278041170,10039278041177,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04118,POP Ginger Chews Pineapple Coconut 4 oz (12ct/cs),EA12,7.65 x 5.5 x 2.25,,12.4 x 5.6 x 7.1,240cs,039278041187,10039278041184,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
